muP_iso_7_Chi2_5_LoosePt05 muP_iso_7_Chi2_5_LoosePt05/F
muP_iso_7_Chi2_5_medPt05 muP_iso_7_Chi2_5_medPt05/D
muP_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127 muP_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127/F
muP_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608 muP_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608/I
muP_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0134217728 muP_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0134217728/I
muP_iso_Ntracks_7_Chi2_5_LoosePt05 muP_iso_Ntracks_7_Chi2_5_LoosePt05/I
muP_iso_Ntracks_7_Chi2_5_medPt05 muP_iso_Ntracks_7_Chi2_5_medPt05/I
muP_iso_Ntracks_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127 muP_iso_Ntracks_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127/I
pass_grl pass_grl/O
properTime properTime/D
properTime_err properTime_err/D
properTime_sig properTime_sig/D
run_number run_number/i
trigger_category trigger_category/I
